"","X49041_Reb_TAM","X49041_Reb_TC","X49059_Reb_TAM","X49059_Reb_TC","X49827_Reb_TAM","X49827_Reb_TC","X49849_Reb_TAM","X49849_Reb_TC","X49823_EP_TAM","X49823_EP_TC","X49825_EP_TAM","X49825_EP_TC","X49830_EP_TAM","X49830_EP_TC","X49831_EP_TAM","X49831_EP_TC","X49843_EP_TAM","X49843_EP_TC","X49845_EP_TAM","X49845_EP_TC","X54359_Veh_TAM","X54359_Veh_TC","X54363_Veh_TAM","X54363_Veh_TC","X57098_Veh_TAM","X57098_Veh_TC","X57682_Veh_TAM","X57682_Veh_TC","X64247_Veh_TAM","X64247_Veh_TC"
"Rgs20",6,128,12,536,10,250,4,614,42,120,14,158,8,42,20,76,14,118,36,164,1,610,0,733,7,1190,18,951,28,929
"Sntg1",4,358,0,362,6,284,0,242,4,26,2,16,2,22,6,12,0,18,0,26,31,336,1,350,1,438,4,613,14,47
"3110035E14Rik",158,6204,298,13550,188,3124,278,12476,82,370,42,412,40,218,8,264,52,1278,82,246,138,11557,83,5528,121,17443,118,15555,107,12525
"Eya1",0,1792,36,780,18,400,22,918,2,30,4,146,4,74,0,66,2,116,12,168,9,609,4,199,2,1202,18,2285,13,544
"B3gat2",16,658,32,594,30,452,20,944,56,22,32,28,54,28,16,20,14,110,14,12,23,847,45,460,15,1321,31,1107,19,457
"Col19a1",4,1198,40,4778,6,758,48,4788,18,4,4,8,2,10,2,2,10,230,2,4,7,730,53,273,19,4579,6,4538,98,2006
"Bai3",54,930,16,1024,18,288,2,1034,4,72,0,30,4,10,14,38,12,100,0,84,1,92,14,203,6,1296,5,1341,22,584
"Gm20172",0,44,0,60,6,86,0,38,4,14,2,10,2,10,2,6,4,8,4,10,0,36,5,26,1,116,1,97,0,8
"Khdrbs2",4,354,2,158,6,102,2,192,2,20,2,20,0,2,0,8,0,32,0,14,3,151,0,140,1,231,0,309,4,82
"2010300C02Rik",26,46,10,46,36,138,36,24,108,144,88,134,66,62,70,40,50,64,96,86,15,277,28,199,41,156,27,201,21,76
"Lonrf2",0,150,6,164,20,206,12,338,10,6,14,78,0,110,4,54,6,16,16,38,5,225,1,40,2,444,2,577,14,169
"Il1rl2",680,138,784,56,644,36,774,94,378,22,338,28,392,8,152,14,296,20,570,2,486,5,379,1,1422,26,1159,3,320,2
"2900092D14Rik",0,332,22,1222,2,224,0,1090,10,62,2,46,0,24,0,48,0,86,10,98,0,625,3,260,11,1669,2,1832,0,576
"1500015O10Rik",80,184,32,14,12,140,0,24,10,6558,16,4780,6,1656,6,1756,10,308,32,17478,0,50,0,4,5,131,1,11,6,71
"Myo1b",36,1164,120,572,158,86,448,534,508,26,250,48,408,22,286,26,256,32,418,102,153,100,114,234,301,334,343,305,265,259
"Stk17b",972,852,1578,378,248,2902,1332,596,206,3004,74,3660,126,1366,194,1830,220,88,180,70,400,319,655,373,1351,574,1833,629,954,514
"Pgap1",428,1836,438,836,706,228,544,2200,352,92,352,172,374,50,232,40,390,154,430,30,517,437,319,215,1059,1727,724,1931,529,1010
"Sgol2",90,592,40,898,78,116,54,908,318,128,236,72,134,32,120,14,140,94,344,18,14,443,130,453,275,578,200,680,176,477
"Icos",182,12,84,10,86,1672,140,48,38,664,28,830,54,272,38,722,28,8,30,8,183,6,17,6,110,4,72,1,21,2
"Adam23",54,590,44,1122,20,206,40,724,12,142,18,162,10,74,2,72,2,88,22,126,1,100,5,94,16,251,2,255,31,158
"Klf7",356,544,616,450,78,154,254,712,90,54,46,62,26,74,20,70,16,58,62,30,93,112,164,93,417,634,414,636,185,224
"2810408I11Rik",38,38,30,48,20,28,36,102,28,12,38,6,2,32,22,6,38,6,24,14,24,32,58,67,96,107,69,68,80,133
"Fn1",22130,11894,24394,5202,936,378,14428,2324,786,1686,118,2146,82,2426,132,1910,796,432,142,1130,13094,1834,9231,3849,15655,2109,56590,1825,28243,2130
"Stk36",32,174,40,118,42,42,60,144,20,52,6,14,22,16,16,48,32,2,14,106,101,125,82,41,68,244,99,208,60,23
"Tuba4a",586,60,1066,32,196,956,466,24,302,1924,144,1558,204,840,186,952,188,330,288,2034,638,784,636,1829,830,435,532,439,912,258
"Tmem198",0,168,0,122,0,36,0,132,0,84,0,12,0,16,2,6,0,2,26,4,0,46,3,7,0,47,1,60,0,92
"Dner",36,1014,30,790,16,468,0,1318,36,198,6,130,10,2,4,90,10,202,22,290,5,787,11,301,10,1464,25,2673,16,1108
"Htr2b",182,10,188,8,26,12,296,6,14,0,8,0,18,2,6,2,18,0,6,2,46,1,31,17,69,24,140,21,208,5
"B3gnt7",436,8,628,56,240,0,744,78,86,0,80,6,82,10,66,42,172,16,160,10,862,66,492,23,368,70,629,55,948,75
"Efhd1",12,26,40,4,2,56,30,8,18,190,2,128,44,56,0,110,18,80,22,152,29,168,35,56,10,48,9,37,1,80
"Kcnj13",204,316,48,54,22,206,10,12,70,8096,44,5316,16,962,12,1760,12,252,34,22658,2,1,29,3,13,91,8,27,0,67
"Hjurp",92,258,40,198,58,46,36,290,106,10,74,50,100,28,72,22,96,52,114,10,96,153,161,203,316,392,201,540,173,190
"Sh3bp4",226,3318,216,1602,204,290,170,2078,162,50,140,124,92,24,62,22,172,304,142,208,56,1565,163,724,163,3671,79,3093,160,2593
"Col6a3",1648,1878,318,612,244,44,438,330,42,0,64,26,30,4,4,34,80,12,14,4,332,43,297,45,266,49,290,95,248,29
"Per2",204,172,272,218,208,140,220,160,36,82,84,134,16,108,112,46,48,38,68,64,50,354,38,220,150,576,212,653,180,63
"Gpc1",150,1488,250,1308,56,480,54,1740,26,154,8,392,20,162,8,138,8,152,10,302,71,683,42,438,53,1538,132,1880,96,1351
"Neu4",188,2152,50,260,12,514,48,1494,6,46,12,70,0,30,0,132,0,172,0,46,54,1432,1,248,10,999,9,2029,3,501
"Pam",72,1392,50,982,20,220,88,882,36,386,14,364,2,130,12,204,16,196,34,680,22,542,12,413,26,943,52,1014,79,548
"Cdh20",12,936,38,1350,0,328,18,1394,8,58,0,6,0,10,2,44,0,76,12,46,10,274,0,38,6,872,5,1105,8,986
"Cdh19",50,1622,28,270,2,196,8,902,16,62,0,98,2,8,0,34,0,24,12,32,1,168,10,108,9,783,6,1184,19,287
"Tfcp2l1",4,32,4,16,0,144,0,18,6,238,40,402,32,162,0,332,4,142,14,292,8,114,15,184,19,277,8,174,41,68
"Inhbb",4,216,0,160,0,56,6,184,0,30,2,30,0,8,0,2,0,2,2,8,0,154,1,143,2,155,0,190,1,299
"Steap3",336,1534,346,734,78,74,174,594,140,62,138,122,36,72,84,58,204,2,186,72,202,4,332,157,433,810,400,477,501,340
"Lypd1",0,108,0,18,0,44,0,30,0,4,0,4,0,4,2,12,0,14,0,6,6,60,0,41,2,40,0,56,0,8
"Tmem163",4,236,16,44,14,82,18,98,0,26,0,32,14,6,0,6,12,48,16,24,48,165,0,68,13,54,4,223,3,21
"Cd55",88,42,180,4,8,72,76,22,2,602,2,858,4,156,4,116,8,44,4,1128,10,2,1,12,30,64,67,42,47,3
"Ikbke",384,14,528,22,408,208,920,62,34,198,4,266,24,132,20,200,94,6,16,56,373,3,292,19,508,108,1025,39,309,40
"Fam72a",14,26,32,32,40,8,40,56,98,28,166,20,68,4,48,14,104,10,86,20,68,16,107,72,169,37,77,24,41,44
"5430435G22Rik",742,242,1040,130,506,194,1560,52,74,126,294,230,76,28,162,74,350,36,184,64,742,168,740,131,1309,218,1920,113,1318,39
