,x,
1,Sntg1,BAIAP2L1
2,3110035E14Rik,PGLYRP1
3,Eya1,CD4
4,B3gat2,PPP1R3F
5,Col19a1,CLDN11
6,Bai3,CTTNBP2
7,Gm20172,CEACAM1
8,Khdrbs2,BCL3
9,Lonrf2,TRIP13
10,Il1rl2,NTN1
11,2900092D14Rik,CLIC5
12,1500015O10Rik,PILRA
13,Myo1b,ITGB4
14,Pgap1,ADAM11
15,Sgol2,XYLB
16,2810408I11Rik,CDC6
17,Stk36,RAB26
18,Tuba4a,SEMA4G
19,Tmem198,GADD45B
20,Dner,SERPIND1
21,Efhd1,PDXP
22,Kcnj13,ASPHD2
23,Hjurp,LGALS1
24,Sh3bp4,SRRD
25,Neu4,CENPM
26,Cdh20,PYGL
27,Cdh19,AURKA
28,Tfcp2l1,SLCO4A1
29,Inhbb,PLLP
30,Steap3,MMP15
31,Lypd1,WFDC1
32,Tmem163,CRYM
33,Cd55,TOX3
34,Lrrn2,OIP5
35,Nav1,CD79A
36,Aspm,SLC5A5
37,Fam5c,CLIP2
38,E330020D12Rik,TNFSF8
39,Cacna1e,CCL2
40,Tnr,CD38
41,F5,CCND1
42,Mpzl1,PANX1
43,Uck2,ASIC1
44,Nuf2,CSRNP2
45,Gm7694,MYL2
46,Olfml2b,RAD51AP1
47,1700009P17Rik,HCFC2
48,Pcp4l1,ULBP1
49,Fcer1g,FANCE
50,Adamts4,B3GAT2
51,Pvrl4,LAMA4
52,F11r,HBEGF
53,Vangl2,LOX
54,Slamf9,PCDHB5
55,Cadm3,PCDHB7
56,Rgs7,IL12B
57,Exo1,SLC7A14
58,1700047M11Rik,GNB4
59,Susd4,KCNJ13
60,Kcnk2,BCL9
61,Cenpf,SELL
62,Prox1,TTR
63,Nsl1,STBD1
64,Dtl,GDA
65,Nek2,TMEM180
66,Hhat,LRP11
67,Rmnd1,PCDHB14
68,Ulbp1,EGR1
69,D10Bwg1379e,SORBS3
70,Perp,TSHZ3
71,Pde7b,PLBD1
72,Snord100,BHLHE41
73,Enpp1,CD97
74,Rspo3,RAB9B
75,Lama4,TNFAIP6
76,Wasf1,PTGIS
77,Ppil6,MOCS3
78,Scml4,SOX4
79,Bend3,SH3TC1
80,Grik2,EFNB2
81,Slc35f1,PTGER2
82,Lrrc20,TNFSF9
83,H2afy2,C3
84,Lrrtm3,CD93
85,Slc16a9,TLE6
86,Pcdh15,CCR7
87,Chchd10,CFP
88,Col18a1,OMG
89,Apc2,SYNGR3
90,Lmnb2,TUBA4A
91,Pias4,SEZ6L
92,Atcay,STRIP2
93,Tle6,LRRC4
94,Zfp781,FAM64A
95,Slc41a2,CDO1
96,Aldh1l2,IGSF21
97,Syn3,NCAPG
98,BC030307,PCDHGC5
99,Tyms-ps,KRT1
100,4930547N16Rik,PLVAP
101,Ano4,PXDN
102,Gas2l3,SESN2
103,Tmtc2,HIP1R
104,Phlda1,LRP3
105,Kcnmb4,C1QL1
106,Srgap1,NAPSA
107,Fam19a2,RARA
108,Slc16a7,PPP1R1B
109,Nab2,NR0B2
110,Timeless,LGALS3
111,Ikzf4,PER2
112,Mmp19,SERPINF1
113,Tmem198b,CLEC10A
114,Rdh5,JAG1
115,Itga7,ZSWIM3
116,Smtn,SYT4
117,Kremen1,MICAL2
118,Nacad,TEX15
119,Igfbp3,RNF122
120,Fignl1,DUSP26
121,Meis1,UNC79
122,Sh3pxd2b,CCNB1
123,Fam196b,BHLHE40
124,Ccdc99,CHL1
125,Odz2,ANO3
126,Hmmr,EMP1
127,C030019I05Rik,RERG
128,Trim7,RAB33A
129,Ltc4s,PDGFRA
130,Zfp354b,SEMA6A
131,Zfp354a,ADAM19
132,Fstl4,RNFT2
133,Slc22a21,RDH5
134,Zfp692,TROAP
135,Hist3h2ba,MIP
136,A230051G13Rik,KCNMB4
137,Shmt1,HTR2B
138,Slc47a1,ALDH1L2
139,Cenpv,PLXNC1
140,Ntn1,SLC41A2
141,Tmem88,NUDT15
142,Tnfsf13,BRIP1
143,Kctd11,IL1RN
144,Asgr1,RALGPS1
145,Slc16a11,NOV
146,Wscd1,TTBK1
147,Fam64a,IER3
148,Aspa,RNF144B
149,Efcab5,TLR2
150,Ankrd13b,KIF23
151,Dhrs13,GCHFR
152,Spag5,ARHGAP29
153,Omg,ADCY3
154,Ccl2,KIF11
155,Tmem132e,SLC16A7
156,Myo19,CCND2
157,Brip1,FAM189A1
158,Tubd1,XYLT1
159,Prr11,VWF
160,C030037D09Rik,ENOX1
161,Samd14,CDK2AP1
162,Ppp1r1b,CUX2
163,Cdc6,PARP16
164,Etv4,SEMA7A
165,Mpp3,IKZF4
166,2810433D01Rik,RAB27B
167,Adam11,ZDHHC2
168,C1ql1,MSR1
169,1700052K11Rik,CACNG4
170,Cyb561,CDH19
171,Cd79b,PRR11
172,1810010H24Rik,CHTF18
173,Cacng4,SLC1A1
174,Cacng5,CRISPLD2
175,Abca8b,GINS1
176,2610035D17Rik,ZC3H3
177,AF251705,DOK5
178,Cdr2l,TYROBP
179,Caskin2,CDH20
180,2210020M01Rik,RPS6KA6
181,Itgb4,KCNN4
182,Gm11744,PIAS4
183,Tk1,ASPA
184,Aatk,ITGAE
185,Bahcc1,PRKCQ
186,Pycr1,KIF18A
187,Kif3c,NOVA2
188,Adcy3,PLEKHA4
189,A830093I24Rik,IL1B
190,BC068281,SPTBN4
191,Sdc1,IL27RA
192,Tubb2a-ps2,ATP2B3
193,Fam84a,TANC1
194,Sox11,TFCP2L1
195,Pxdn,LNX1
196,Sostdc1,STK17B
197,Lrrn3,USP13
198,Nova1,PVRL1
199,Foxg1,GPC1
200,Npas3,EFHD1
